Kinase	Observed	SamplingAvg	SD	Z
PKA	42	28.548	2.9728967451845287	4.524879655436883
JNK	10	22.7935	2.8977674644696854	-4.414950528938082
ERK	15	28.0465	2.998638635586725	-4.35080767824739
P38	13	24.593	2.8911122885720935	-4.0098753845793125
RSK	51	39.4265	2.982959398548142	3.8798717829123066
DMPK	59	48.9885	2.5943656481996284	3.8589394702121202
DYRK	15	25.756	2.8557909186222723	-3.7663821709990764
PDK1	19	29.9025	2.9213457310698816	-3.732012915844503
PKG	33	22.887	2.84293371995691	3.557240863200033
AKT	28	18.99	2.737635352573792	3.291161473177659
STE7	15	24.2045	2.8129408219928864	-3.2721982375295333
PKCI	10	5.243	1.5906653035928164	2.9905725542987716
RAD53	23	15.6975	2.484971084468655	2.93866598514624
PAKA	23	15.698	2.5426420342346914	2.8718159700359966
PLK	14	21.839	2.842203029171124	-2.7580717913336747
PKD	28	20.5095	2.71727833516837	2.756618599962403
NMO	1	5.27	1.5932260306034094	-2.680096808600851
PKCA	63	57.4235	2.109827821581268	2.6431066757952517
PHK	53	46.055	2.734540885949315	2.539731636738353
PIM	41	33.7	2.9697490979630627	2.4581201169509685
AUR	9	5.1705	1.5778702694751705	2.4270056126184345
STE11	1	4.7155	1.5371210494168246	-2.4171811331382393
PKCD	10	6.17	1.6767545297020785	2.284174536078638
MST	7	11.906	2.1962640524067107	-2.2337933340136886
LKB	2	5.2135	1.5684858379698416	-2.048791211375788
CDK	42	47.5025	2.706779835623738	-2.032858353524725
MAPKAPK	29	23.2765	2.8555428227232387	2.0043474587229917
AMPK	16	11.478	2.2620951653873087	1.9990317247443292
CK1	14	19.5085	2.7591183586534536	-1.9964710766117124
PAKB	2	0.9555	0.7012600322394028	1.48946175738049
PKN	2	0.95	0.713270199285372	1.4720929053982612
NUAK	0	0.953	0.6913971470923956	-1.3783684297914014
TLK	0	0.979	0.7195956565700471	-1.3604862551094372
NAK	0	0.948	0.7060773843116052	-1.342629039059591
TTK	0	0.9455	0.7111839715015098	-1.3294731572813474
SGK	15	12.341	2.315685686810723	1.1482560069117613
TAO	1	0.444	0.4969783634594905	1.118760978103065
PASK	1	0.46	0.49852207787726466	1.0832017757354915
MOS	1	0.476	0.49954857059868923	1.0489470510785501
STKR	2	3.3205	1.2929097253013797	-1.0213396760490676
PRKDC	4	5.6805	1.647050739372966	-1.0203085793457514
SLK	0	0.4875	0.49996873338958264	-0.9750609737031959
CLK	0	0.483	0.49983589102722453	-0.9663171626338702
WNK	0	0.481	0.49976382616288917	-0.962454613198088
BRSK	0	0.4785	0.49966246736236386	-0.9576464738805036
KHS	0	0.478	0.4996406913074686	-0.9566874922640131
NIK	0	0.4755	0.4995242859522729	-0.9519056697984684
CAMKK	0	0.4725	0.4993680348371415	-0.9461959257245932
ULK	0	0.4715	0.49931193276658387	-0.9442994830656585
IRAK	5	6.6505	1.768873711462622	-0.9330796140529768
BUD32	0	0.46	0.49852207787726466	-0.9227274385894927
PDK	0	0.46	0.49852207787726466	-0.9227274385894927
GSK	8	10.009	2.1861629981149995	-0.9189616701646874
ATM	1	1.869	0.9546175398156383	-0.9103122075127874
MTOR	10	12.001	2.2907690436632198	-0.8735057798756333
FRAY	8	9.5445	2.0806692053690528	-0.7423092512805504
ATR	5	6.2205	1.6748977255926996	-0.728701210438446
DAPK	13	11.4395	2.2297591042153893	0.6998513862102204
CK2	3	3.8165	1.3772349610974282	-0.5928545404840614
MLCK	3	2.368	1.0715176503621013	0.5898176290296537
NDR	3	2.398	1.0808238015722187	0.5569825526827791
CAMK1	11	9.919	2.1077619244509287	0.5128662717833276
PDHK	28	29.497	2.9919001877346583	-0.5003509161625694
IKK	26	27.509	3.0185219458153165	-0.4999135428158739
BARK2	1	1.4165	0.870865634570993	-0.4782597721922704
CHK1	7	6.194	1.690796675150016	0.47669835873582356
NEK	9	10.004	2.185491291699202	-0.45939327409508807
CAMK2	9	8.1115	1.941121254806853	0.4577251409718909
GRK	5	5.729	1.6588957072353108	-0.43944896404303796
QIK	35	33.8005	3.0184856099853854	0.39738470047097824
COT	2	2.3775	1.1025432194591682	-0.3423902059686834
VRK1	2	2.3725	1.098793621983608	-0.3390081563520006
RIPK	19	18.1265	2.6698430255148793	0.3271727931763125
MELK	14	13.3815	2.3819728477301463	0.25965871130285406
PKCH	8	7.6265	1.896785873082189	0.1969120528049272
MLK	9	8.6575	2.013758019395662	0.17008001790740734
RAF	11	11.27	2.2473596313577247	-0.12014098510654532
MARK	3	2.86	1.1657956681039285	0.120089655357614
MSN	2	1.907	0.9898691430993443	0.0939518123666437
HAL	1	0.9455	0.6991238352885233	0.07795471595888051
PEK	46	46.078	2.7647310662945985	-0.028212508967297722
